㓦:;10333.030	漢語大字典、爲bai1音。
㓡:;10335.020	說文「从刀、𠯑聲」。
㓣:;10336.080	廣韻、苦洽切。又、同割。玉篇、爲割古文。
㓢:;10336.120	廣韻、盧各切。
㓪:;10338.150	同朗。字彙補「㓪、明也。淮南子『耳聽滔㓪奇麗激抮之音』」。漢語大字典曰「按、淮南子作朗」。
㓨:;10340.020	同刺。集韻「刺、俗作㓨」。
㓧:;10342.110	集韻、姑南切。
㓩:;10342.140	玉篇、音喧、「㓩、角毛」。龍龕手鑑、音結。改併四聲篇海所引龍龕手鑑「㓩、理角」。
㓬:;10345.030	同刳。龍龕手鑑、㓬同刳。
㓮:;10345.080	同雕。集韻「彫、或从刀。通作雕」。
㓯:;10347.060	同劙。集韻「劙、方言『解也』。或从甾」。
㓶:;10347.110	集韻、詰結切。一云、同鍥。集韻「㓶、刻也。通作鍥」。
㓴:;10348.010	集韻、乳兖切。
㓳:;10348.040	廣韻、都奚切。
㓭:;10348.050	同鞨。廣韻「鞨、治皮。亦作㓭」。
㓵:;10348.060	同鍔。說文「㓵、刀劒刃也」。集韻「㓵、或从金」。
㓱:;10349.020	一、廣韻、度侯切。二、同鄃。字彙補、審朱切。「㓱、漢縣名。屬淸河郡」。漢語大字典按「漢書・地理志上作鄃」。
㓲:;10349.080	集韻、紕延切。
㓹:;10349.200	一、集韻、兪芮切。同銳。二、廣韻、此芮切。三、集韻、居例切。
㓺:;10350.010	一、廣韻、居言切。二、集韻、渠焉切。
㓻:;10350.080	同剛。字彙「㓻、同剛」。
㓷:;10350.120	同劓。說文「从刀、臬聲。……劓、臬或从鼻」。
㓸:;10352.040	同斲。集韻「斲、或作㓸」。
㓼:;10353.010	說文「从刀、桼聲」。
㓽:;10354.050	廣韻、鋤弓切。
㔃:;10355.010	同絕。一、廣韻、子悅切。集韻「絕、或从刀」。二、集韻、翾劣切。
㔄:;10355.090	廣韻、相玉切。
㔆:;10355.110	一、廣韻、徂感切。二、集韻、在敢切。
㔀:;10355.140	同剠。龍龕手鑑、爲剠俗字。
㔂:;10356.060	集韻、離珍切。
㓾:;10356.100	一、集韻、先齊切。二、字彙、陳知切。
㔁:;10356.130	字彙、都騰切。
㔇:;10356.140	同鏺。集韻「鏺、亦从刀」。
㔊:;10359.050	一、同𨬧。集韻「𨬧、說文『伐擊也』。或从刀」。
㔅:;10360.040	集韻、先弔切。
㔌:;10360.110	一、廣韻、才奏切。二、集韻、此苟切。
㔋:;10360.140	一、廣韻、格懺切。二、集韻、盧甘切。
㔍:;10360.190	一、廣韻、初刮切、又、厠列切。二、蜀語、音札。
㔏:;10361.150	一、廣韻、郞撃切。二、集韻、朗可切。
㔎:;10362.090	說文「从刀、辥聲」。
㔐:;10362.120	𠠃譌字。正字通「㔐、𠠃字之譌」。
㔑:;10362.150	同㓼。集韻「㓼、或作㔑」。
㔒:;10363.030	廣韻、戶圭切。
㔓:;10366.020	同𧮈。玉篇「㔓、難也、吃也、或作𧮈」。
㔕:;10367.070	集韻、極乙切。
㔗:;10369.030	一、廣韻、扶沸切。二、集韻、平祕切。同𠢥。集韻「𠢥、或省」。三、集韻、符勿切。
㔘:;10369.081	?
㔚:;10369.140	同劶。字彙補「㔚、勏㔚、用力也」。漢語大字典按、集韻作「勏劶」。
㔙:;10370.050	廣韻、甫盲切。
㔜:;10372.020	同勃。龍龕手鑑、爲勃俗字。
㔝:;10373.030	一、廣韻、良獎切。二、改併四聲篇海所引俗字背篇、音良。
㔞:;10373.060	廣韻、苦淮切。
㔠:;10375.050	一、廣韻、許鎋切。二、集韻、何葛切。
㔡:;10376.130	廣韻、方結切。集韻、必結切。
㔢:;10381.060	一、廣韻、子悅切。二、類篇、翾劣切。
㔣:;10382.050	說文「从力、畾聲」。
㔥:;10382.060	一、廣韻、薄蟹切。二、同疲。正字通「㔥、俗疲字。經史借罷、凡言罷士、罷女、罷馬、與疲同、俗作㔥」。
㔦:;10382.100	集韻、以兩切。
㔤:;10382.110	集韻、思沁切。
㔧:;10382.140	同𠣊。集韻「𠣊、說文『助也』。或从盧」。
㕕:;10384.060	同幻。集韻「幻、古作㕕」。
㕖:;10387.170	同素。龍龕手鑑「㕖、古文、音素」。字彙補「㕖、同素」。
㕗:;10387.200	同誘。說文「㕗、相訹呼也。誘、或从言秀」。
㕘:;10387.220	同參。改併四聲篇海所引俗字背篇「㕘、音參。同」。
㓄:;10389.160	集韻、知鴆切。一云、同𣜣。集韻𣜣字「或作㓄」。
㕙:;10389.170	說文新附「从兔、夋聲」。參:鄭珍『說文新附考』。
㕚:;10393.020	說文「㕚、手足甲也。从又、象㕚形」。說文段注「㕚爪、古今字。古作㕚、今用爪」。
㕛:;10393.080	同友。玉篇「㕛、今作友」。
㕜:;10394.030	同史。改併四聲篇海所引搜眞玉鏡「㕜、古文史字」。
㕞:;10397.020	說文「从又持巾在尸下」。
㕟:;10397.110	廣韻、苦怪切。
㕢:;10401.100	說文「从𣦼、从貝。貝、堅寶也」。
㕡:;10401.110	同壑。說文「㕡、溝也。壑、㕡或从土」。玉篇「㕡、溝也。與壑同」。
㯩:;10402.080	集韻、他計切。「蠶易曲也」。
㢟:;10403.080	說文「从廴、从止」。
㢠:;10404.040	同迥。
㠪:;10411.010	同𢀑。𢀑、古文巨。
㠭:;10414.020	同展。說文「从四工」。
㠮:;10414.070	字彙、普蒙切。又、同肛。
㘦:;10417.130	集韻、渠巾切。
㘫:;10421.050	龍龕手鑑、才性反。
㘩:;10422.070	集韻、毗至切。
㘨:;10422.180	廣韻、奴協切。一、深。二、空。三、靜。
㘪:;10423.040	同耗。字彙。
㘯:;10423.061	?
㘬:;10426.060	一、同坳。龍龕手鑑「㘬、舊藏作坳」。二、同物。字彙補、音物。
㘰:;10427.030	廣韻、職深切。集韻「㘰、通作斟」。
㘧:;10429.050	同序。集韻、象呂切。
㘭:;10429.070	同坳。
㘵:;10430.040	漢語大字典曰「地名用字。茶㘵、在福建省」。音bu4。
㘳:;10430.110	同丘。集韻。
㘱:;10431.080	同坍。篇海類編「㘱、同坍」。
㘴:;10431.110	同坐。
㘲:;10435.120	同𨸰。廣韻「𨸰、曲岸水外曰𨸰。㘲、同𨸰」。
㘽:;10437.050	同栽。
㘷:;10437.080	同艾。集韻「艾、或作㘷」。
㘸:;10438.060	一、同葬。集韻「葬、或作㘸」。二、同坐。龍龕手鑑「㘸、古文坐字」。
㘹:;10438.110	同垐。龍龕手鑑、垐、俗字作㘹。
㘻:;10439.040	同堙。集韻「垔、或作堙㘻」。
㘺:;10439.140	同垡。玉篇「㘺、耕也。亦作垡」。
㘶:;10441.040	同桀。集韻「桀、古作㘶」。
㙄:;10443.110	廣韻、傍禮切。一、下。二、同陛。集韻「陛、說文『升高階也』。或从土」。
㘿:;10443.180	同涅。錢繹箋疏「廣雅『㘿、下也』。說文『涅、黑土在水中也』。涅、㘿古今字」。
㙅:;10444.050	同堢。龍龕手鑑、㙅、堢俗字、或作堡。
㙁:;10445.080	一、廣韻、莫杯切。二、同坶。廣韻、莫六切。
㙃:;10445.090	集韻、晡橫切。
㙂:;10445.160	一、集韻、徒外切。二、玉篇、烏弄切。
㙀:;10447.040	廣韻、力救切。
㙊:;10448.050	一、同場。集韻、仲良切、「場、或作㙊」。二、同㙣。集韻。
㙇:;10452.040	廣韻、丑玉切。
㙈:;10452.120	集韻、虛訝切。
㙉:;10453.050	同腆。集韻「倎、厚也。或从土、通作腆」。
㙍:;10459.070	地名用字、「塘㙍」。音duo1。
㙓:;10459.110	龍龕手鑑、渠追反。
㙘:;10461.070	地名用字。如「寨子㙘」。
㙎:;10461.110	玉篇、於歸切。
㙗:;10463.060	龍龕手鑑、烏回反。
㙕:;10463.070	同塊。龍龕手鑑「㙕、隨函云『合作塊』」。
㙒:;10463.090	同野。龍龕手鑑、㙒、同野。
㙐:;10464.010	集韻、都果切。三、同垛。陸德明爾雅釋文「㙐或作垛」。
㙏:;10464.070	同𥨍。玉篇「㙏、又作𥨍」。
㙑:;10464.160	同宇。正字通「㙑、同宇。屋邊也。見鐘鼎文」。
㚃:;10468.030	說文「从凶、从壺。」
㙛:;10471.010	集韻、彼五切。
㙞:;10472.120	集韻、逆乙切。
㙚:;10474.030	說文「从土、觲省聲」。
㙙:;10474.060	說文「从土、浝聲」。
㙟:;10476.030	方言。地名用字。音lang3。
㙔:;10477.040	一、同煒。龍龕手鑑、于鬼反。字彙補「㙔、音義與煒同」。二、同韓。五音集韻、胡安切、㙔、韓俗字。
㙝:;10477.050	集韻、迄業切。
㙢:;10478.030	集韻、謨官切。一、同墁。集韻「㙢、土覆。或作墁」。
㙠:;10479.080	說文「从土、殹聲」。
㙤:;10479.110	說文「从土、虖聲」。
㙡:;10481.040	玉篇、咨容切。
㙦:;10481.041	?
㙥:;10481.130	集韻、古困切。
㙣:;10484.010	集韻、知亮切。
㙪:;10485.100	說文「从土、壹聲」。
㙧:;10486.010	同塯。畱留異體。
㙬:;10486.120	同垠。玉篇。集韻「垠、或作㙬」。
㙩:;10486.140	說文「从土、尞聲」。
㙮:;10488.050	方言。音da1。又、圪㙮之㙮。音da0。
㙫:;10488.070	集韻、卽入切。
㙯:;10488.120	同藝。集韻「埶、或作藝㙯」。
㙨:;10490.050	同畿。集韻「畿、或作㙨」。
㙳:;10491.030	一、集韻、苦感切。㙳坷、同坎坷。二、集韻、虎感切。
㙱:;10491.110	同𧇼。玉篇「㙱、土釜也。說文作𧇼」。
㙴:;10492.060	廣韻、昌豔切。
㙰:;10492.070	集韻、下買切。
㙶:;10492.080	同堂。說文「㙶、籒文堂」。
㙵:;10492.090	同臺。龍龕手鑑、㙵、同臺。
㙲:;10493.030	同壅。字彙、㙲同壅。
㙹:;10495.040	集韻、謨中切。同夢、澤名。集韻「㙹、澤名。通作夢」。
㙺:;10495.120	一、同逵、亦作馗。集韻、渠龜切。集韻「馗、說文九達道也。或作逵、㙺」。
㙷:;10496.060	說文「从土、㬎聲」。
㙸:;10497.010	同墣。正字通「㙸、俗墣字」。
㙼:;10498.020	同壘。龍龕手鑑、㙼、壘或體。一說同𡾊。字彙補「㙼、與壘同」。
䜃:;10498.100	廣韻、都回切。
㙻:;10498.110	同廛。玉篇「㙻、與廛同」。
㙾:;10499.190	同嶨。集韻「嶨、或作㙾」。
㚀:;10501.050	集韻、虛宜切。一、險㚀或作險巇・嶮巇。二、同𡓰。集韻「𡓰、毀也。或从戲」。
㚁:;10502.230	廣韻、丘召切。亦作翹。
㚂:;10503.020	廣韻、奴浪切。
㝴:-元,寸	;10504.050	同刓。
㝶:;10506.090	同得。集韻。
㝷:;10510.011	?
㷉:;10511.010	同尉。集韻「㷉、隸作尉」。
㢡:;10519.010	同奬。
㢣:;10519.050	同擎。集韻「擎、擧也。或从廾」。
㚎:;10526.031	?
㚏:;10527.020	夰譌字。
㚐:;10527.040	同套。
㚓:/大,木	;10529.070	龍龕手鑑、音來。五音集韻「㚓、小舡梢木也、或作柁」。
㚒:;10530.010	說文「从亦、有所持」。
㚘:-夫,夫	;10532.010	說文「从二夫」。
㚗:/大,且	;10534.020	廣韻、才邪切。大口貌。
㚖:/白,大	;10535.060	說文「从大、从白」。
㚔:;10536.030	說文「从大、从𢆉」。
㚕:/大,弗	;10536.050	說文「从大、弗聲」。
㚙:/加,大	;10536.080	龍龕手鑑、音加。字彙補「㚙、義未詳」。
㚛:/大,旨	;10539.080	集韻、顯計切。
㚚:/大,名	;10539.090	一、集韻、口觥切。集韻「㚚、大也」。二、字彙、口黃切。
㚞:/大,林	;10543.010	龍龕手鑑、所錦反。恐怖。
㚜:/大,或	;10543.020	廣韻、雨逼切。同域。集韻、忽域切。大也。
㚝:/大,佳	;10543.120	佩觿、之追翻。
㚟:/㲋,大	;10546.010	同㲋。
㚠:/大,羔	;10547.060	廣韻、許幺切。長大、肥、大丑。
㚡:-奇,奇	;10549.120	字彙補、居倚切。
㝼:-尢,于	;10552.060	說文「从尢、于聲」。
㝽:-尢,水	;10553.080	集韻、數軌切。集韻、主橤切。
㝾:-尢,左	;10553.140	說文「从尢、左聲」。
㝿:-尢,皮	;10553.210	同跛。說文「从尢、皮聲」。
㞀:-尢,灰	;10554.010	龍龕手鑑、音灰。
㞁:-尢,㫐	;10554.020	說文繫傳「从尢、㫐聲」。
㞂:-尢,妥	;10554.180	廣韻、吐猥切。集韻、叱內切。
㞆:-尢,奇	;10554.190	廣韻、居綺切。又卿義切。同踦。
㞄:-尢,奄	;10554.200	廣韻、烏含切。又烏感切。
㞅:-尢,果	;10554.220	集韻、盧卧切。
㞃:-𧮫1,尤	;10555.010	玉篇、巨逆切。
㞇:-尢,畏	;10555.070	廣韻、烏賄切。
㞈:-尢,扁	;10556.020	集韻、北末切。
㞉:-尢,差	;10556.110	集韻、子末切。
㞊:-祟,尢	;10556.130	廣韻、辛聿切。
㢥:;10559.130	廣韻、徒弄切。
㢦:;10560.040	𢎄譌字。
㡀:;10563.040	說文「敗衣也。从巾、象衣敗之形」。
㝸:;10564.140	說文「从皃、象形。」
㝹:/少,兔	;10565.180	同䨲。
㝺:-兼,少	;10566.010	集韻、勒兼切。小、欠、少。
㗬:;10566.030	說文「从多、从尚」。
㝻:-堇,少	;10566.060	同僅。
㕣:;10570.020	說文「从口、从水」。
㕥:;10570.040	龍龕手鑑、音申。
㕤:;10572.020	同叴。玉篇。
㕦:;10577.070	廣韻、胡化切。玉篇「大聲也」。廣韻「大口」、集韻亦云「口大皃」。
㕨:;10582.010	龍龕手鑑、音梵。
㕧:;10584.040	說文「从口、尸聲」。
㕵:;10584.140	龍龕手鑑、音國。
㕲:;10585.100	一、龍龕手鑑、下刮反。二、字彙補、以陵切。
㕶:;10585.120	一、同嗯。二、方言代詞。你義。
㕱:;10587.060	玉篇、古求切。玉篇「犬吠也」
㕯:;10588.150	說文「从口、从內」。
㕩:;10589.070	集韻、匹絳切。
㕰:;10589.090	一、廣韻、許角切。二、同嘛。
㕭:;10590.030	廣韻、於交切。
㕮:;10591.080	廣韻、方矩切。
㕳:;10592.020	漢語大字典、爲同詾。
㕬:;10592.040	一、廣韻、職容切。二、集韻、似用切。
㕫:;10594.060	集韻、撫養切。
㕴:;10595.010	龍龕手鑑「㕴、長林反、音沈」。
㕪:;10595.020	集韻、都感切。
㕽:;10597.030	龍龕手鑑「㕽、詞孕反」。字彙補「㕽、詞子切、音似。義闕」。
